Year,Quarter,Month,FR_ANNEÉ,FR_TRIMESTRE,FR_MOIS,Province,FR_PROVINCE_TERRITOIRE,MainCategory,FR_CATÉGORIE_D'IMMIGRATION-CATÉGORIE_PRINCIPALE,GroupCategory,FR_CATÉGORIE_D'IMMIGRATION-GROUPE,SubCategory,FR_CATÉGORIE_D'IMMIGRATION-COMPOSANTE,Total
2019,Q2,May,2019,T2,mai,Alberta,Alberta,Resettled Refugee & Protected Person in Canada,Réfugiés réinstallés et personnes protégées au Canada,Protected Person in Canada,Personnes protégées au Canada,Protected Person,Personnes protégées,10.0
2017,Q2,May,2017,T2,mai,Ontario,Ontario,Resettled Refugee & Protected Person in Canada,Réfugiés réinstallés et personnes protégées au Canada,Protected Person in Canada,Personnes protégées au Canada,Protected Person,Personnes protégées,20.0
2019,Q4,Oct,2019,T4,oct.,Ontario,Ontario,Economic,Économique,Worker Program,Programme des travailleurs,Canadian Experience,Catégorie de l’expérience canadienne,100.0
2016,Q1,Jan,2016,T1,janv.,Alberta,Alberta,Economic,Économique,Provincial Nominee Program,Candidats des provinces ou des territoires,Provincial Nominee Program,Candidats des provinces ou des territoires,45.0
2015,Q1,Jan,2015,T1,janv.,Ontario,Ontario,Economic,Économique,Worker Program,Programme des travailleurs,Canadian Experience,Catégorie de l’expérience canadienne,40.0
2016,Q1,Feb,2016,T1,fév.,Alberta,Alberta,Economic,Économique,Worker Program,Programme des travailleurs,Skilled Worker,Travailleurs qualifiés,25.0
2019,Q2,May,2019,T2,mai,Quebec,Québec,Resettled Refugee & Protected Person in Canada,Réfugiés réinstallés et personnes protégées au Canada,Protected Person in Canada,Personnes protégées au Canada,Protected Person,Personnes protégées,20.0
2024,Q4,Nov,2024,T4,nov.,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Economic,Économique,Worker Program,Programme des travailleurs,Atlantic Immigration Programs,Programmes d’immigration au Canada atlantique,15.0
2023,Q2,May,2023,T2,mai,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Economic,Économique,Provincial Nominee Program,Candidats des provinces ou des territoires,Provincial Nominee Program,Candidats des provinces ou des territoires,10.0
2022,Q2,Jun,2022,T2,juin,Ontario,Ontario,Resettled Refugee & Protected Person in Canada,Réfugiés réinstallés et personnes protégées au Canada,Protected Person in Canada,Personnes protégées au Canada,Protected Person,Personnes protégées,55.0
2020,Q1,Feb,2020,T1,fév.,British Columbia,Colombie-Britannique,Economic,Économique,Worker Program,Programme des travailleurs,Canadian Experience,Catégorie de l’expérience canadienne,20.0
2016,Q2,May,2016,T2,mai,Ontario,Ontario,Sponsored Family,Famille parrainée,Sponsored Family,Famille parrainée,Sponsored Parent or Grandparent,Parents ou grands-parents parrainés,5.0
2021,Q2,May,2021,T2,mai,Ontario,Ontario,Sponsored Family,Famille parrainée,Sponsored Family,Famille parrainée,Sponsored Children,Enfants parrainés,5.0
2018,Q1,Jan,2018,T1,janv.,British Columbia,Colombie-Britannique,Economic,Économique,Worker Program,Programme des travailleurs,Canadian Experience,Catégorie de l’expérience canadienne,55.0
2020,Q3,Sep,2020,T3,sept.,Ontario,Ontario,Economic,Économique,Worker Program,Programme des travailleurs,Skilled Worker,Travailleurs qualifiés,10.0
2024,Q2,Apr,2024,T2,avr.,Prince Edward Island,Île-du-Prince-Édouard,Economic,Économique,Worker Program,Programme des travailleurs,Atlantic Immigration Programs,Programmes d’immigration au Canada atlantique,10.0
2023,Q3,Jul,2023,T3,juil.,Nova Scotia,Nouvelle-Écosse,Economic,Économique,Worker Program,Programme des travailleurs,Atlantic Immigration Pilot Programs,Programmes pilotes d’immigration au Canada atlantique,5.0
2017,Q3,Sep,2017,T3,sept.,British Columbia,Colombie-Britannique,Sponsored Family,Famille parrainée,Sponsored Family,Famille parrainée,Sponsored Spouse or Partner,Époux ou conjoints de fait parrainés,30.0
2016,Q3,Aug,2016,T3,août,British Columbia,Colombie-Britannique,Economic,Économique,Worker Program,Programme des travailleurs,Skilled Worker,Travailleurs qualifiés,15.0
2017,Q3,Sep,2017,T3,sept.,Manitoba,Manitoba,Economic,Économique,Provincial Nominee Program,Candidats des provinces ou des territoires,Provincial Nominee Program,Candidats des provinces ou des territoires,10.0
2016,Q1,Jan,2016,T1,janv.,Manitoba,Manitoba,Economic,Économique,Worker Program,Programme des travailleurs,Skilled Worker,Travailleurs qualifiés,5.0
2022,Q2,May,2022,T2,mai,Alberta,Alberta,All Other Immigration,Toute autre immigration,Humanitarian & Compassionate,Circonstances d'ordre humanitaire,Humanitarian & Compassionate,Circonstances d'ordre humanitaire,5.0
2024,Q1,Jan,2024,T1,janv.,British Columbia,Colombie-Britannique,Economic,Économique,Worker Program,Programme des travailleurs,Skilled Worker,Travailleurs qualifiés,25.0
2023,Q3,Aug,2023,T3,août,Alberta,Alberta,Economic,Économique,Provincial Nominee Program,Candidats des provinces ou des territoires,Provincial Nominee Program,Candidats des provinces ou des territoires,95.0
2017,Q4,Oct,2017,T4,oct.,Ontario,Ontario,Economic,Économique,Provincial Nominee Program,Candidats des provinces ou des territoires,Provincial Nominee Program,Candidats des provinces ou des territoires,45.0
2023,Q3,Sep,2023,T3,sept.,Ontario,Ontario,Economic,Économique,Worker Program,Programme des travailleurs,Agri-Food Pilot,Pilote sur l’immigration agroalimentaire,5.0
2024,Q2,Jun,2024,T2,juin,New Brunswick,Nouveau-Brunswick,Economic,Économique,Worker Program,Programme des travailleurs,Skilled Worker,Travailleurs qualifiés,5.0
2020,Q1,Jan,2020,T1,janv.,Ontario,Ontario,Economic,Économique,Worker Program,Programme des travailleurs,Caregiver,Aides familiaux,5.0
