CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2001,New Temp. Residents,,0.00000
4807044,Sedgewick,2002,New Temp. Residents,,0.00000
4807044,Sedgewick,2003,New Temp. Residents,,0.00000
4807044,Sedgewick,2004,New Temp. Residents,,0.00000
4807044,Sedgewick,2005,New Temp. Residents,,0.00000
4807044,Sedgewick,2006,New Temp. Residents,,0.00000
4807044,Sedgewick,2007,New Temp. Residents,,0.00000
4807044,Sedgewick,2008,New Temp. Residents,,0.00000
4807044,Sedgewick,2009,New Temp. Residents,,0.00000
4807044,Sedgewick,2010,New Temp. Residents,,0.00000
4807044,Sedgewick,2011,New Temp. Residents,,0.00000
4807044,Sedgewick,2012,New Temp. Residents,,0.00000
4807044,Sedgewick,2013,New Temp. Residents,,0.00000
4807044,Sedgewick,2014,New Temp. Residents,,0.00000
4807046,Lougheed,2014,New Temp. Residents,,0.00000
4807046,Lougheed,2001,New Temp. Residents,,0.00000
4807046,Lougheed,2002,New Temp. Residents,,0.00000
4807046,Lougheed,2003,New Temp. Residents,,0.00000
4807046,Lougheed,2004,New Temp. Residents,,0.00000
4807046,Lougheed,2005,New Temp. Residents,,0.00000
4807046,Lougheed,2006,New Temp. Residents,,0.00000
4807046,Lougheed,2007,New Temp. Residents,,0.00000
4807046,Lougheed,2008,New Temp. Residents,,0.00000
4807046,Lougheed,2009,New Temp. Residents,,0.00000
4807046,Lougheed,2010,New Temp. Residents,,0.00000
4807046,Lougheed,2011,New Temp. Residents,,0.00000
4807046,Lougheed,2012,New Temp. Residents,,0.00000
4807046,Lougheed,2013,New Temp. Residents,,0.00000
4808011,Red Deer,2001,New Temp. Residents,,445.00000
4808011,Red Deer,2002,New Temp. Residents,,325.00000
4808011,Red Deer,2003,New Temp. Residents,,260.00000
4808011,Red Deer,2004,New Temp. Residents,,315.00000
4808011,Red Deer,2005,New Temp. Residents,,395.00000
4808011,Red Deer,2006,New Temp. Residents,,625.00000
4808011,Red Deer,2007,New Temp. Residents,,700.00000
4808011,Red Deer,2008,New Temp. Residents,,1135.00000
4808011,Red Deer,2009,New Temp. Residents,,1170.00000
4808011,Red Deer,2010,New Temp. Residents,,1135.00000
4808011,Red Deer,2011,New Temp. Residents,,1120.00000
4808011,Red Deer,2012,New Temp. Residents,,1325.00000
4808011,Red Deer,2013,New Temp. Residents,,1185.00000
4808011,Red Deer,2014,New Temp. Residents,,1205.00000
4805018,Strathmore,2014,New Temp. Residents,,160.00000
4805018,Strathmore,2001,New Temp. Residents,,65.00000
4805018,Strathmore,2002,New Temp. Residents,,45.00000
4805018,Strathmore,2003,New Temp. Residents,,80.00000
4805018,Strathmore,2004,New Temp. Residents,,70.00000
4805018,Strathmore,2005,New Temp. Residents,,60.00000
4805018,Strathmore,2006,New Temp. Residents,,105.00000
4805018,Strathmore,2007,New Temp. Residents,,165.00000
4805018,Strathmore,2008,New Temp. Residents,,85.00000
